loss,delay,fast_recovery,md5_hash,ttc
1.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.5453779697418213
1.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.684037923812866
1.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.5878212451934814
1.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.5381221771240234
1.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,3.029829263687134
1.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.692986011505127
1.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,3.100353717803955
1.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.8786582946777344
1.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.6259124279022217
2.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.584519147872925
2.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.5828821659088135
2.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.4962642192840576
2.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.8309454917907715
2.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.628903865814209
2.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,3.6952219009399414
2.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,4.139866828918457
2.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,3.4982573986053467
2.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.781524419784546
2.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.835808038711548
2.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.577692985534668
2.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.594302177429199
2.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.6337437629699707
2.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,3.071951389312744
2.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.848281145095825
2.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.4959588050842285
2.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.6890289783477783
2.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.7250776290893555
2.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,3.927503824234009
2.5,20,0,9c218d291239f777fcf7cd7c02bc34a4,6.254368305206299
3.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.626101493835449
3.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.5533201694488525
3.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.540400266647339
3.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.707596778869629
3.0,20,1,9c218d291239f777fcf7cd7c02bc34a4,3.1939876079559326
3.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.921437978744507
3.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.97975492477417
3.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,2.748943567276001
3.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,4.9034318923950195
3.0,20,0,9c218d291239f777fcf7cd7c02bc34a4,4.568219423294067
3.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.7597737312316895
3.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.6599318981170654
3.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.878300666809082
3.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,3.6593096256256104
3.5,20,1,9c218d291239f777fcf7cd7c02bc34a4,2.869704484939575
